version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+p27467914bc4d+td4848549884e,27467914bc4d,d4848549884e,Chạy nguyên bản trước khi sửa artifact,Đo hành vi baseline để xác định lỗi routing input thiếu thông tin và ranh giới xác nhận,case_accuracy,,0.7,runs/v0_B_base_gemini_20260915T184355568235.json
v1,team,system_prompt.md,v1+p938dfc650c78+td4848549884e,938dfc650c78,d4848549884e,Bổ sung decision policy và quy tắc hội thoại an toàn,Nếu latest intent correction missing-info và confirmation được mô tả rõ thì độ chính xác và multi-turn sẽ tăng,case_accuracy,0.7,0.7333,runs/v1_B_base_gemini_20260915T185037237854.json
v2,team,tools.yaml,v2+p938dfc650c78+t386429f9ef89,938dfc650c78,386429f9ef89,Làm rõ purpose argument mapping và confirmation contract của tool,Nếu mô tả tool nêu rõ điều kiện dùng và quy ước input thì model sẽ giảm missing calls và sai argument,case_accuracy,0.7333,1.0,runs/v2_B_base_gemini_20260915T185525148594.json
v3,team,system_prompt.md,v3+p67f93bb55e71+t386429f9ef89,67f93bb55e71,386429f9ef89,Thêm guardrail chống prompt injection bảo vệ secret external-search và kiểm tra tool error,Nếu ranh giới an toàn được nêu rõ thì agent sẵn sàng cho safety eval mà không làm giảm chất lượng base,case_accuracy,1.0,1.0,runs/v3_B_base_gemini_20260915T195526583674.json
v3_final,team,system_prompt.md,v3+p106fc34a78d5+t386429f9ef89,106fc34a78d5,386429f9ef89,Cố định ranh giới an toàn cho A05/A12/GRP02/GRP09 sau khi test adversarial và group,Nếu tinh chỉnh ranh giới chống rò rỉ secret và identifier ra web thì đạt tuyệt đối cả base adversarial và group,case_accuracy,1.0,1.0,runs/v3_B_base_openai_20260915T204223458893.json
